table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_generated,generation_expression,is_stored,is_hidden,is_updatable,is_system_defined,is_partitioning_column,clustering_ordinal_position,collation_name,column_default,rounding_mode,data_policies,policy_tags,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle
bigquery-public-data,thelook_ecommerce,users,id,1,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,first_name,2,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,last_name,3,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,email,4,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,age,5,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,gender,6,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,state,7,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,street_address,8,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,postal_code,9,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,city,10,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,country,11,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,latitude,12,YES,FLOAT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,longitude,13,YES,FLOAT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,traffic_source,14,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,created_at,15,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,users,user_geom,16,YES,GEOGRAPHY,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,order_items,id,1,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,order_items,order_id,2,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,order_items,user_id,3,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,order_items,product_id,4,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,order_items,inventory_item_id,5,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,order_items,status,6,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
bigquery-public-data,thelook_ecommerce,order_items,created_at,7,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,,"{
  ""data_policies"": []
}",[],NO,,,,,,
